==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:27:22 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	379.0	569	1	0	205	1	42	41	272	65536
2.0	327.0	290	1	0	4	0	27	33	221	65536
3.0	407.7	454	2	0	4	3	82	71	288	65536
4.0	415.7	420	0	0	3	1	48	33	331	65536
5.0	454.8	1398	1	0	1030	1	99	38	222	65536
6.0	356.5	2105	1	0	1739	1	47	45	266	65536
7.0	405.0	1704	1	0	1281	1	58	47	311	65536
8.0	354.8	1330	1	0	988	1	48	38	246	65536
9.0	425.7	1613	1	0	1397	0	40	25	146	65536
10.0	435.8	1778	1	0	1549	0	33	22	167	65536
11.0	401.2	1602	1	0	1328	0	64	38	167	65536
12.0	368.5	1713	1	0	1370	1	68	33	233	65536
13.0	370.0	2137	2	0	1723	2	58	64	281	65536
14.0	330.5	1549	1	0	1183	1	168	48	142	65536
15.0	426.1	1677	1	0	1309	1	84	53	224	65536
16.0	354.9	1721	1	0	1272	1	37	35	369	65536
17.0	336.5	1315	1	0	1082	0	20	19	188	65536
18.0	450.5	2000	1	0	1664	1	39	37	253	65536
19.0	398.9	1931	1	0	1630	1	39	36	216	65536
20.0	393.5	1355	2	0	1030	1	39	49	229	65536
21.0	414.6	1919	1	0	1516	1	50	53	292	65536
